지역,2016,2017,2018,2019,2020,2021,2022
강원도,25,163,236,253,347,377,468
경기도,140,735,1639,1734,2023,2151,2268
경상남도,108,248,491,540,623,754,838
경상북도,47,202,313,386,419,574,670
광주광역시,26,70,134,157,207,247,251
대구광역시,31,357,498,546,616,644,662
대전광역시,12,213,253,268,291,307,340
부산광역시,27,144,268,294,317,351,408
서울특별시,114,534,1180,1254,1393,1469,1515
세종특별자치시,3,110,172,181,182,184,187
울산광역시,10,65,102,106,109,123,133
인천광역시,20,218,364,371,437,485,503
전라남도,92,213,334,356,389,446,525
전라북도,24,108,286,298,370,421,444
제주특별자치도,27,191,341,374,404,475,493
충청남도,21,131,218,235,293,370,433
충청북도,42,94,289,324,381,417,451
